Index	Label
นมพาสฯเมจิ ขาดมันเนย ขวด 200	56
เบียร์ลีโอแคน 490ML	214
Hโปเต้ รสดั้งเดิม 65 ก.	238
เบียร์ช้างคลาสสิคแคน490ML	214
ปิโตรเลียมเจลลี่วาสลีนโกโก้	163
UHTโฟร์โมสต์ช็อคฯพร่องมันเนยด.225	70
นมสดพาสฯโฟร์โมสต์ สตรอฯ ขวด 400 มล.	74
ดอยคำ น้ำมะเขือเทศ 200มล	25
ชานมผสมเฉาก๊วย	140
เบียร์ช้างคลาสสิคแคน490MLแพ็ค2	214
UHT โอวัลตินสมาร์ท ด.170มล.	71
อมยิ้มจูปาจุ๊ปส์ทังเพ้นท์เทอร์ 11 G	116
ขนมปังพิซซ่าปูอัดLP	100
มาลีแอปเปิ้ล100%	24
ช็อกโกแลตบอนโอบอน14ก.	139
อกไก่นุ่ม ซีพี	47
บุหรี่ iSCORE GREEN	85
Hถั่วปากอ้าทองการ์เด้นอบเกลือ 40 ก.	240
ชาเขียวนมมัทฉะเย็นออโต้	65
เบียร์ลีโอแคน 320ML	214
ช็อกโกแลตไมโลบาร์ 30 ก.	139
ข้าวโพดหวานตัดท่อน	43
หมากฝรั่งเดนทีนไอซ์เมนโทลิปตัสแผง 11.2 G	4
แซนวิชปูอัดไข่กุ้ง 7Fresh	50
เบอร์เกอร์สเต็กไก่	61
โค้กไม่มีน้ำตาล 325 มล.	26
นมพาสฯเมจิชอค ขวด 450	74
ข้าวเกรียบปลาหมึกอาริงาโตรสดั้งเดิม 30 ก.	253
H FHโดนัทเค้กสังขยา	137
ไก่ห่อสาหร่าย ซีพี	49
อิชิตันชิวชิว องุ่นเคียวโฮ 350 มล.	21
MSLUR โคล่า	34
ไข่ไก่สด ซีพี แพ็ค 4 ฟอง	125
สาหร่ายห่อกุ้ง	55
ไนท์ไนท์ ช็อต 50 มล.	80
FHไส้ช็อกโกแลต80ก	136
Hเวเฟอร์เนสท์เล่ รสช็อกโกแลต11.1 ก.	215
บุหรี่ WONDER S Red (แดง)	85
ข้าวผัดกุ้ง สูตรใหม่	53
น้ำแร่มิเนเร่ 330 มล.	80
เค้กแบล็คฟอเรสต์ครีมสด	38
นมโอวัลตินพาสฯ กล่อง 200	56
ไส้กรอกแฮมพริก	40
โจ๊กเห็ดหอมหมูสับ	52
ยาอมสเตร็ปซิลน้ำผึ้งมะนาว 8 เม็ด	11
Hแซนวิชคุกกี้ฟันโอ รสนม 90 ก.	221
หมูยอเล็กหมูดี80g.	41
LPขนมปังแซนด์วิชตัดขอบรสใบเตย165g	256
ดอยคำ มะเขือเทศโซเดียมต่ำ	25
ไวไวควิกคัพ รสต้มยำกุ้ง 60 ก.	92
FHขป.โฮลวีตไส้ทูน่าไข่ต้ม	136
ขนมปังไส้กรอกคู่7Fresh	100
เกี๊ยวซ่าหมูโออิชิ	42
หน้ากากอนามัยMSK my items	19
Hเวเฟอร์ไส้ครีมรสมะพร้าว ตราบิสชิน 29กรัม	218
น้ำแร่มองต์เฟลอร์ 1500 ml.	81
คุกกี้ดิวเบอร์รี่ แยมสตรอเบอร์รี่ 36ก.	217
ยาสีฟันคอลเกตรสยอดนิยม(เล็ก)	161
แคลิฟอร์เนียโรล	44
นมพาสฯดัลมิลล์ขาดมันเนยขวด 400	74
ยำยำเส้นแบน รสสุกี้ 55 ก.	259
@เนสกาแฟ3in1 เบลนด์แอนด์บรู เอสเปรสโซ พ.4	29
คุกกี้ครีมโอ ครีมวานิลลา 45 ก.	216
เปปทีนพลัส 100 มล.	82
เกี๊ยวซอสญี่ปุ่น	42
Hทาโรซูเปอร์แซบเผ็ดจัด 25 ก.	233
Hมันฝรั่งแท่งแจ็กซ์รสซอสมะเขือเทศ 14 ก.	253
UHTโฟร์โมสต์หวาน ด. 225	70
HOTCOF31เนสกาแฟเอสเปรสโซ	32
Hทาโรอบกรอบรสเข้มข้น 18 ก.	232
นมสดพาสฯโฟร์โมสต์ ชอคฯ ขวด 400 มล	74
ยูนิฟแครอทม่วงผสมผลไม้รวม40%	24
แมนซั่มแอลกลูตาไธโอน(แดง)	23
ไส้กรอกทอด สูตรใหม่	49
ลูกชิ้นปลากลมใหญ่แต้จิ๋ว	41
ลูกอมริโคลารสเลมอนมินต์ (ถุง) 17.5 ก.	11
ดูโอ้แซนด์วิชไส้ปูอัดมายองเนสLP	97
เลย์แผ่นเรียบรสเมี่ยงคำครบรส75ก.	246
ชิซึโอกะ ชาเขียวหวานน้อย 440 มล.	35
บิ๊กโคล่า 1.8 ลิตร	261
หมากฝรั่งริกลี่ย์ดับเบิ้ลมินต์แท่ง 13.50 G	9
บุหรี่ PLAYOFF RED	85
Hเวเฟอร์ทิวลี่ทวินจัมโบ้ วานิลลาเคลือบช็อกฯ 38 ก.	216
สาหร่ายม้วนเถ้าแก่น้อยบิ๊กโรล รสคลาสสิคแพ็ค 3ก.x3	231
เปาหมูสับ	55
ลูกอมฮอลล์ราสเบอร์รี่แผง 22.40 G	5
ลูกอมริโคลารสออริจินอล (ถุง) 17.5 ก.	11
เป๊ปซี่แมกซ์ 1.45 ลิตร	261
